"date","close","volume","open","high","low"
"16:00","278.55","7,757,163","277.74","285.812","276.61"
"2018/02/16","278.5200","8302883.0000","278.7300","281.9600","275.6900"
"2018/02/15","280.2700","10724010.0000","270.0300","280.5000","267.6300"
"2018/02/14","266.0000","10948740.0000","260.4700","269.8800","260.3300"
"2018/02/13","258.2700","6805745.0000","257.2900","261.4100","254.7000"
"2018/02/12","257.9500","8518564.0000","252.1400","259.1500","249.0000"
"2018/02/09","249.4700","16899060.0000","253.8500","255.7999","236.1100"
"2018/02/08","250.1000","9267707.0000","267.0800","267.6200","250.0000"
"2018/02/07","264.5600","8729209.0000","266.5800","272.4500","264.3250"
"2018/02/06","265.7200","12412240.0000","247.7000","266.7000","245.0000"
"2018/02/05","254.2600","11816490.0000","262.0000","267.8990","250.0300"
"2018/02/02","267.4300","9030600.0000","263.0000","270.6200","262.7100"
"2018/02/01","265.0700","9651161.0000","266.4100","271.9500","263.3800"
"2018/01/31","270.3000","11653530.0000","281.9400","282.2890","269.5800"
"2018/01/30","278.8000","12055820.0000","277.0000","282.7300","272.7000"
"2018/01/29","284.5900","17377340.0000","274.2000","286.8100","273.9200"
"2018/01/26","274.6000","10932370.0000","271.4850","274.6000","268.7600"
"2018/01/25","269.7000","15311560.0000","263.0000","272.3000","260.2300"
"2018/01/24","261.3000","17193780.0000","250.8800","261.7100","249.3110"
"2018/01/23","250.2900","27637170.0000","255.0500","257.7100","248.0200"
"2018/01/22","227.5800","17128090.0000","222.0000","227.7850","221.2000"
"2018/01/19","220.4600","10356210.0000","222.7500","223.4900","218.5000"
"2018/01/18","220.3300","8212094.0000","220.3400","220.5800","216.5500"
"2018/01/17","217.5000","9070403.0000","221.0000","221.1500","216.3200"
"2018/01/16","221.5300","13495260.0000","224.2400","226.0700","217.2000"
"2018/01/12","221.2300","8190531.0000","217.1800","222.5500","216.0000"
"2018/01/11","217.2400","6988980.0000","214.2900","217.7500","213.3500"
"2018/01/10","212.5200","5948247.0000","207.5700","213.6400","206.9100"
"2018/01/09","209.3100","6111640.0000","212.1100","212.9800","208.5900"
"2018/01/08","212.0500","5550909.0000","210.0200","212.5000","208.4400"
"2018/01/05","209.9900","7003241.0000","207.2500","210.0200","205.5900"
"2018/01/04","205.6300","6019937.0000","206.2000","207.0500","204.0006"
"2018/01/03","205.0500","8585808.0000","202.0500","206.2100","201.5000"
"2018/01/02","201.0700","10891830.0000","196.1000","201.6500","195.4200"
"2017/12/29","191.9600","5180539.0000","192.5100","193.9500","191.2200"
"2017/12/28","192.7100","10097040.0000","187.1800","194.4900","186.8500"
"2017/12/27","186.2400","3990782.0000","187.8000","188.1000","185.2200"
"2017/12/26","187.7600","3044444.0000","189.7800","189.9400","186.4000"
"2017/12/22","189.9400","3772823.0000","188.3300","190.9500","186.8000"
"2017/12/21","188.6200","3548372.0000","189.4400","190.9500","187.5800"
"2017/12/20","188.8200","6408432.0000","187.9400","189.1100","185.2600"
"2017/12/19","187.0200","7025428.0000","190.1800","190.2981","185.7500"
"2017/12/18","190.4200","5007915.0000","191.2000","191.6500","188.9000"
"2017/12/15","190.1200","7272899.0000","189.6100","191.4300","188.0100"
"2017/12/14","189.5600","7758883.0000","187.9800","192.6400","187.2000"
"2017/12/13","187.8600","4702165.0000","186.1000","188.6900","185.4100"
"2017/12/12","185.7300","4165826.0000","186.0100","187.8500","184.8183"
"2017/12/11","186.2200","5253442.0000","187.8500","189.4200","185.9100"
"2017/12/08","188.5400","4964188.0000","186.5000","189.4200","186.3000"
"2017/12/07","185.2000","4656700.0000","185.7100","187.3400","183.2200"
"2017/12/06","185.3000","5355126.0000","183.3800","186.4844","182.8800"
"2017/12/05","184.2100","5781783.0000","183.5000","188.1400","181.1900"
"2017/12/04","184.0400","9066897.0000","189.3600","189.7200","178.3800"
"2017/12/01","186.8200","6216025.0000","186.9900","189.8000","185.0000"
"2017/11/30","187.5800","6615516.0000","190.3100","190.8600","186.6800"
"2017/11/29","188.1500","14180450.0000","198.9100","199.0290","184.3200"
"2017/11/28","199.1800","6975416.0000","195.3400","199.6800","194.0100"
"2017/11/27","195.0500","3200207.0000","195.5600","195.8500","194.0000"
"2017/11/24","195.7500","2160535.0000","196.6500","196.9000","195.3300"
"2017/11/22","196.3200","5892321.0000","196.5800","196.7500","193.6300"
"2017/11/21","196.2300","4618281.0000","195.0400","197.5200","194.9710"
"2017/11/20","194.1000","3748824.0000","193.3000","194.3200","191.9000"
"2017/11/17","193.2000","3902383.0000","195.7400","195.9500","192.6500"
"2017/11/16","195.5100","5669799.0000","194.3300","197.7000","193.7500"
"2017/11/15","192.1200","4198868.0000","194.5400","195.4200","191.5300"
"2017/11/14","195.7100","3440382.0000","193.6400","195.8800","193.0000"
"2017/11/13","195.0800","4605285.0000","191.1200","196.0500","191.0000"
"2017/11/10","192.0200","6619613.0000","191.6100","192.5900","189.5000"
"2017/11/09","193.9000","5959214.0000","194.4600","194.4900","190.8100"
"2017/11/08","196.4400","4233343.0000","196.0000","197.0900","194.7400"
"2017/11/07","195.8900","6460587.0000","200.0000","200.6100","194.8000"
"2017/11/06","200.1300","5845181.0000","200.0000","202.4800","198.0900"
"2017/11/03","200.0100","3676766.0000","199.8000","200.5500","197.9900"
"2017/11/02","199.3200","3596049.0000","197.4500","199.4400","197.0901"
"2017/11/01","198.0000","5007021.0000","197.2400","199.1990","196.0000"
"2017/10/31","196.4300","5511925.0000","198.2100","198.5900","195.2180"
"2017/10/30","198.3700","5434844.0000","199.6200","201.0990","197.0721"
"2017/10/27","199.5400","8122338.0000","197.2000","200.6500","196.2200"
"2017/10/26","195.2100","5173212.0000","194.6600","197.6100","194.0800"
"2017/10/25","193.7700","5313036.0000","195.3800","197.0550","193.0100"
"2017/10/24","196.0200","7052166.0000","192.7500","196.7350","191.4000"
"2017/10/23","192.4700","6975651.0000","194.1700","194.8999","191.0346"
"2017/10/20","194.1600","5989595.0000","195.9000","196.3800","193.7700"
"2017/10/19","195.1300","7030873.0000","193.0100","195.2500","191.1600"
"2017/10/18","195.5400","11188190.0000","199.9900","200.0100","194.2500"
"2017/10/17","199.4800","23855850.0000","200.1100","204.3800","197.7700"
"2017/10/16","202.6800","21777940.0000","201.9500","202.8300","197.8600"
"2017/10/13","199.4900","12046030.0000","199.7000","200.8199","197.1866"
"2017/10/12","195.8600","7765111.0000","196.7500","198.6200","194.7100"
"2017/10/11","194.9500","6438060.0000","195.5700","196.2199","193.8100"
"2017/10/10","195.0800","6231196.0000","197.8500","198.3000","192.1000"
"2017/10/09","196.8700","6966384.0000","199.1000","199.4000","196.5600"
"2017/10/06","198.0200","15253890.0000","194.3000","198.9200","192.0500"
"2017/10/05","194.3900","19360960.0000","185.6500","194.4900","184.4900"
"2017/10/04","184.4500","9190513.0000","181.4100","186.7000","181.2500"
"2017/10/03","179.1900","3952185.0000","177.6500","179.7000","177.5500"
"2017/10/02","177.0100","7335949.0000","182.1100","182.8000","176.5800"
"2017/09/29","181.3500","4221112.0000","180.7300","182.9000","180.6500"
"2017/09/28","180.7000","4074395.0000","181.2500","181.9500","179.3600"
"2017/09/27","181.9700","4988515.0000","181.0100","183.3400","180.7000"
"2017/09/26","179.3800","5599875.0000","180.7000","180.9500","176.5500"
"2017/09/25","178.5500","9359710.0000","186.4600","186.5500","177.7000"
"2017/09/22","187.3500","5456048.0000","188.4000","189.8500","186.3900"
"2017/09/21","188.7800","7141660.0000","185.8200","189.9500","184.5100"
"2017/09/20","185.5100","4613591.0000","186.1000","186.5000","183.2000"
"2017/09/19","185.6800","4963088.0000","184.9800","186.2300","184.1700"
"2017/09/18","184.6200","5355228.0000","183.6100","185.4500","182.7300"
"2017/09/15","182.3500","5577062.0000","182.7300","184.9300","181.4300"
"2017/09/14","182.6300","4500701.0000","183.2500","185.2882","182.0700"
"2017/09/13","183.6400","4312431.0000","184.0700","184.4995","182.5500"
"2017/09/12","185.1500","6681405.0000","182.5500","185.3300","180.6435"
"2017/09/11","181.7400","5974055.0000","178.1000","182.4700","178.0300"
"2017/09/08","176.4200","4589146.0000","178.4500","180.3900","176.2500"
"2017/09/07","179.0000","6015599.0000","178.8000","180.3500","177.1000"
"2017/09/06","179.2500","8736860.0000","175.2500","179.4600","173.7300"
"2017/09/05","174.5200","4595245.0000","173.4000","175.8800","172.4400"
"2017/09/01","174.7400","3810598.0000","175.5500","176.4800","173.9200"
"2017/08/31","174.7100","6931894.0000","175.4500","176.2400","173.8600"
"2017/08/30","174.6900","8026646.0000","169.5000","174.8500","169.3700"
"2017/08/29","168.8100","4615061.0000","165.0000","169.6800","164.7300"
"2017/08/28","167.1200","3644835.0000","166.4300","168.6700","165.6000"
"2017/08/25","165.9500","4060283.0000","168.5800","168.7500","165.5000"
"2017/08/24","168.1300","5358588.0000","169.8600","171.2363","166.1500"
"2017/08/23","169.0600","4630286.0000","168.3500","169.6400","166.7000"
