timestamp,open,high,low,close,volume
4/20/2018,228.69,232.1,227.83,229.3,4750621
4/19/2018,231.7452,233.1,226.8,229.04,11762439
4/18/2018,235.5,239.25,232.77,236.37,9784058
4/17/2018,233.6,238.4,231.35,237.54,11180638
4/16/2018,231.772,232.84,227.68,231.49,8769776
4/13/2018,237.17,237.51,229.55,231.5,12575892
4/12/2018,230,235.32,228.2149,234.6,14847950
4/11/2018,227.31,228.976,224.921,226.24,11506057
4/10/2018,224.72,229,222.41,227.91,19118807
4/9/2018,216.8,221.97,214.6,215.41,12488120
4/6/2018,217.23,221.6,213.0735,214.25,16574720
4/5/2018,228.6,229.13,218.49,221.38,17530973
4/4/2018,215.01,226.6606,214,226.24,19729161
4/3/2018,227.8,230.35,221.35,225.35,16685759
4/2/2018,228.74,234.65,217.5,221.05,23052315
3/29/2018,224.105,235.5,220.7002,231.59,22915692
3/28/2018,224.13,229.39,217,221.35,23647648
3/27/2018,247.75,250,219.845,225.52,34462113
3/26/2018,238,244.53,235.9,244.48,15130542
3/23/2018,242.4,242.67,232.52,232.97,18225390
3/22/2018,246,247.88,240.341,241.85,13663927
3/21/2018,249.32,252,247.33,248.56,10841782
3/20/2018,241.12,251.15,241.12,249.58,13725505
3/19/2018,248.18,249.35,237,241,17472128
3/16/2018,250,251.25,248.48,250.48,9634107
3/15/2018,249.29,252.62,247.64,249.34,9992834
3/14/2018,249.45,250.55,246.22,248.74,12573947
3/13/2018,251.49,254.5,246.04,247.71,15408000
3/12/2018,247,253,246.6723,249.76,15056073
3/9/2018,243.1,245.85,242.4501,245.33,12580234
3/8/2018,242.95,242.95,239.3907,241.18,10163665
3/7/2018,238,243.95,237.95,241.84,14530226
3/6/2018,239.1,242.94,237.36,242.16,15920243
3/5/2018,234.51,237.25,229.521,235.65,15519413
3/2/2018,227.86,236.8,221.85,236.54,22835685
3/1/2018,241.91,244.09,228.1248,232.21,26002972
2/28/2018,246.5,248.1,241.53,242,12950470
2/27/2018,245.5,248.91,245.13,246.06,11323269
2/26/2018,247.8,247.98,244.06,246.58,11145830
2/23/2018,244.57,245.93,242.5201,245.93,10258215
2/22/2018,242.73,245.63,239.5,242.15,12998992
2/21/2018,251.69,251.9675,241.36,241.51,21021844
2/20/2018,244.75,251.87,244.6,249.08,17075723
2/16/2018,245.4,250,243.47,243.84,15812549
2/15/2018,244.785,248.37,241.52,246.5,17392024
2/14/2018,231,242.5925,230.55,241.42,18453757
2/13/2018,226.56,234.5,225.25,232.63,15573359
2/12/2018,235.355,235.48,225.0305,228.03,27179807
2/9/2018,238.25,238.89,217.52,232.08,41044898
2/8/2018,233.88,235.22,217.51,217.52,21664353
2/7/2018,229.58,234.97,226.7,228.8,19931234
2/6/2018,204.4,225.7,204,225.58,26591746
2/5/2018,227,233.23,205,213.7,27907654
2/2/2018,237,237.97,231.17,233.52,17794503
2/1/2018,238.52,246.9,238.06,240.5,12716271
1/31/2018,245.77,249.27,244.45,245.8,11818115
1/30/2018,241.11,246.42,238.41,242.72,14133180
1/29/2018,242.74,248.11,240.61,246.85,11282948
1/26/2018,238.12,243.34,237.6,243.33,12755309
1/25/2018,238,239.75,235.75,236.35,10105341
1/24/2018,239.04,240.4936,233.55,235.8,14406492
1/23/2018,235.85,239.83,235.101,238.91,11293069
1/22/2018,230.43,233.76,228.1,233.69,9614659
1/19/2018,228.09,231.09,227,230.11,14544968
1/18/2018,223.94,226.64,222.68,224.44,10071489
1/17/2018,220.7,225.12,216.9,224.72,13112629
1/16/2018,224.05,227.51,216.69,220.11,17104812
1/12/2018,223.6,224.99,221.34,222.98,8931936
1/11/2018,225,226.27,223.21,224.08,9812137
1/10/2018,218.2,223.82,216,223.68,14087612
1/9/2018,222.22,223.82,218.64,221.94,11750593
1/8/2018,220.4,225,218.58,222,21190932
1/5/2018,214.19,216.91,211.08,215.4,14008768
1/4/2018,215.76,218.05,212.69,213.59,14346675
1/3/2018,204.1,213.7,203.75,212.47,22499518
1/2/2018,195.78,199.5,194.5,199.35,8303752
12/29/2017,198.46,198.46,193.5,193.5,6896330
12/28/2017,198.13,199.38,197.1514,197.4,5978211
12/27/2017,196.9,199.97,196.31,197.17,8097374
12/26/2017,193.03,197.75,191.82,197.44,8821296
12/22/2017,194.4,195.65,191.25,195.27,11613423
12/21/2017,196.94,197.95,195.55,195.89,7458634
12/20/2017,197.7,198.07,194.55,196.8,7185318
12/19/2017,197.52,197.73,194.96,196.11,9217358
12/18/2017,193.2,198.02,192,197.9,11730697
12/15/2017,188.251,192.38,185.62,191.56,16090200
12/14/2017,185.92,189.34,184.6,186.47,10871746
12/13/2017,192.5,192.55,185.88,186.18,13744496
12/12/2017,192.9,193.84,189.89,190.84,11296559
12/11/2017,192.06,194.78,191.42,194.66,9106693
12/8/2017,194.01,194.78,191.15,191.49,11483868
12/7/2017,191.96,193.6,190.12,191.99,13190983
12/6/2017,185.7,190.14,184.84,189.26,11464458
12/5/2017,182.4,192.7,180.58,187.74,24480558
12/4/2017,200.05,200.3,184.5,186.66,31021123
12/1/2017,199.31,200.13,192.47,197.68,20249432
11/30/2017,199.2,202.68,196.65,200.71,20564479
11/29/2017,210.01,210.1226,191.23,196.42,34865791
11/28/2017,214.35,214.73,208.24,210.71,12677148
11/27/2017,217.31,217.36,214.01,214.14,10477983
