timestamp,open,high,low,close,volume
,295.17,299.98,294.25,295.17,2624248
4/19/2018,291.08,301.01,288.55,300.08,6083766
4/18/2018,291.08,300.24,288.16,293.35,6557700
4/17/2018,288.87,292.17,282.51,287.69,7000023
4/16/2018,299,299.66,289.01,291.21,6338488
4/13/2018,303.6,303.9499,295.98,300.34,7327223
4/12/2018,302.32,303.95,293.68,294.08,7608769
4/11/2018,300.7403,308.98,299.66,300.93,7482945
4/10/2018,298.97,307.1,293.68,304.7,11024259
4/9/2018,300.37,309.5,289.21,289.66,10249805
4/6/2018,301,309.28,295.5,299.3,13520286
4/5/2018,289.34,306.26,288.2,305.72,19121101
4/4/2018,252.78,288.37,252,286.94,19896746
4/3/2018,269.82,273.35,254.49,267.53,18844384
4/2/2018,256.26,260.3318,244.5901,252.48,16113968
3/29/2018,256.49,270.9599,248.21,266.13,15170749
3/28/2018,264.58,268.68,252.1,257.78,21001437
3/27/2018,304,304.27,277.18,279.18,13696168
3/26/2018,307.34,307.59,291.36,304.18,8324639
3/23/2018,311.25,311.61,300.45,301.54,6600538
3/22/2018,313.89,318.82,308.18,309.1,4914307
3/21/2018,310.25,322.44,310.19,316.53,5927881
3/20/2018,314.87,316.25,308.76,310.55,4726182
3/19/2018,316.5,320.75,309.67,313.56,7440766
3/16/2018,325.96,327.4,319.07,321.35,6058612
3/15/2018,329.38,332.85,321.1,325.6,6366922
3/14/2018,336.76,339.81,323.93,326.63,7932511
3/13/2018,344.92,345.12,336.2635,341.84,5932110
3/12/2018,328.61,347.21,326.5,345.51,8212156
3/9/2018,324.1,328.49,322.37,327.17,5479716
3/8/2018,332.86,333.3,326.274,329.1,3476944
3/7/2018,325.44,332.5,321.74,332.3,5007297
3/6/2018,333.75,336.37,327.03,328.2,4285744
3/5/2018,332.39,337.75,329.2929,333.35,3823769
3/2/2018,326.98,335.22,322.97,335.12,5092829
3/1/2018,345.01,348.67,330.07,330.93,6885601
2/28/2018,352.57,355.24,342.22,343.06,6042895
2/27/2018,356.25,359.99,350.01,350.99,4761537
2/26/2018,353.5,359,352.355,357.42,4312871
2/23/2018,347.83,354.99,347.1,352.05,5790795
2/22/2018,335.53,347.44,334.7501,346.17,6940349
2/21/2018,336.03,339.6929,333.17,333.3,3181755
2/20/2018,334.47,340.84,331.5,334.77,3996951
2/16/2018,332.5,343.12,331.64,335.49,5585810
2/15/2018,324.5,334.12,322.4,334.065,5892048
2/14/2018,320.84,326.17,318.52,322.31,3930911
2/13/2018,315.02,324.19,312.5105,323.66,4506915
2/12/2018,316.13,318.08,306.25,315.73,6166161
2/9/2018,319.93,320.9845,294.76,310.42,12795099
2/8/2018,343.31,348.62,314.6,315.23,9996464
2/7/2018,338.99,346,335.66,345,5846823
2/6/2018,325.21,336.22,323.5,333.97,4937928
2/5/2018,337.97,344.47,333,333.13,4053777
2/2/2018,348.44,351.95,340.51,343.75,3674909
2/1/2018,351,359.66,348.63,349.25,4163194
1/31/2018,347.51,356.19,345.19,354.31,6076998
1/30/2018,345.14,348.27,342.17,345.82,4696465
1/29/2018,339.85,350.85,338.28,349.53,4722025
1/26/2018,341.5,344,335.71,342.85,4515013
1/25/2018,348.27,349.2,336.4,337.64,6640964
1/24/2018,354.58,354.75,343.52,345.89,5251654
1/23/2018,360,360.5,351,352.79,5428872
1/22/2018,349.4,357.83,349.2,351.56,6157941
1/19/2018,345,350.5899,342.6,350.02,4812052
1/18/2018,345.67,352.3,343.74,344.57,5619990
1/17/2018,340.47,349,339.75,347.16,7062337
1/16/2018,337.54,345,334.8,340.06,6392397
1/12/2018,338.63,340.41,333.67,336.22,4805025
1/11/2018,335.24,344.8099,333.26,337.95,6619082
1/10/2018,332.2,337,330,334.8,4236168
1/9/2018,335.16,338.8,327.405,333.69,7109115
1/8/2018,316,337.0199,315.5,336.41,9777059
1/5/2018,316.62,317.24,312,316.58,4578729
1/4/2018,312.87,318.55,305.68,314.62,9915932
1/3/2018,321,325.25,315.55,317.25,4185665
1/2/2018,312,322.1099,311,320.53,4326988
12/29/2017,316.18,316.41,310,311.35,3727621
12/28/2017,311.75,315.82,309.54,315.36,4294689
12/27/2017,316,317.68,310.75,311.64,4645441
12/26/2017,323.83,323.94,316.58,317.29,4321909
12/22/2017,329.51,330.9214,324.82,325.2,4186131
12/21/2017,329.59,333.74,327.21,331.66,4344701
12/20/2017,332.69,333.1,325.04,328.98,5937684
12/19/2017,340.26,341.4925,330.3,331.1,6792009
12/18/2017,344.9,346.73,337.58,338.87,5441450
12/15/2017,342.04,343.9,335.76,343.45,6832071
12/14/2017,341.01,347.44,336.9,337.89,5744750
12/13/2017,340.93,344.22,336.5,339.03,6189204
12/12/2017,330.45,341.44,330.03,341.03,8648534
12/11/2017,314.63,329.01,313.75,328.91,7937981
12/8/2017,314.6,316.98,311.26,315.13,3442898
12/7/2017,312,318.6341,311.05,311.24,4705140
12/6/2017,300.1,313.39,300,313.26,7160938
12/5/2017,302,308,301,303.7,4628462
12/4/2017,306.5,308.265,300.61,305.2,5811205
12/1/2017,305.44,310.32,305.05,306.53,4285954
11/30/2017,308.56,310.7,304.54,308.85,4345145
11/29/2017,317.3,318,301.23,307.54,8757414
11/28/2017,316.36,320,313.92,317.55,4916555
11/27/2017,313.25,317.34,309.51,316.81,4524921
