timestamp,open,high,low,close,volume
4/20/2018,118.47,120.35,117.37,119,521379
4/19/2018,118.18,118.96,116.32,118.32,799335
4/18/2018,121.05,122.5,117.32,118.38,1508523
4/17/2018,116.52,120.89,115.8625,120.38,1733263
4/16/2018,114.14,118.58,113.99,116.55,1445867
4/13/2018,123.45,123.66,112.57,114.18,3415292
4/12/2018,124.73,125.39,121.302,122.59,921960
4/11/2018,122.54,125.1899,122.5,123.91,1217003
4/10/2018,121.34,124.965,119.96,123.57,2183664
4/9/2018,116.31,120.8,115.42,117.14,1994455
4/6/2018,113.71,116.99,112.62,113.6,973037
4/5/2018,118.34,120.5982,114.5508,116.13,1318780
4/4/2018,110.92,116.63,109,116.53,1767023
4/3/2018,116.42,116.99,112.91,115.01,1338158
4/2/2018,119.31,119.43,113.45,115.81,1633709
3/29/2018,116.02,121.25,115.66,119.54,2127319
3/28/2018,118,120.43,113.13,115.09,3013954
3/27/2018,128.94,129.5,117.134,118.23,2775290
3/26/2018,126.88,129.28,123.02,128.78,2019598
3/23/2018,126.14,127.87,122.32,122.78,2271966
3/22/2018,130.56,132,123.1,124.81,3256320
3/21/2018,135.17,135.93,133.06,134.14,1043978
3/20/2018,133.25,138.7166,133.25,135.94,2101315
3/19/2018,131.07,133.68,129.6,133.56,1230989
3/16/2018,133.88,133.88,130.73,133.03,1519167
3/15/2018,133.5,134.909,131.71,133.72,1386284
3/14/2018,132.17,133.55,130.13,131.49,946617
3/13/2018,132.99,133.8,128.88,131.13,1699315
3/12/2018,138.22,138.4029,129.79,130.68,2537562
3/9/2018,138.81,139.05,136.05,137.51,1006276
3/8/2018,139,139.41,136.49,137.57,1149159
3/7/2018,134.71,139,133.88,138.93,1450560
3/6/2018,133.59,136.7,132.35,135.6,1992264
3/5/2018,128.86,132.18,126.67,131.28,1556639
3/2/2018,125.15,130.67,122.8,130.55,1700701
3/1/2018,129.45,131.05,126.1528,127.78,1620823
2/28/2018,130.5,131.82,126.3604,128.52,2150150
2/27/2018,132.93,134.58,128.0604,129.13,2412958
2/26/2018,139.96,140.5755,132.3,132.77,2834885
2/23/2018,135,139.81,134.95,139.74,1758663
2/22/2018,137.14,138,134.0683,134.71,1354788
2/21/2018,135.39,139.585,135.065,136.75,1853225
2/20/2018,133.31,136.5,132.29,133.9,1846123
2/16/2018,134.81,138.9,133.54,134.74,1765689
2/15/2018,140.5,142.12,134.02,135.12,3125633
2/14/2018,127.9,140,127.63,139.64,4045281
2/13/2018,124.38,130.97,120.26,129.66,5019655
2/12/2018,117.15,119.89,115.47,118.31,2444804
2/9/2018,115.3,116.65,108.7,115.35,2459094
2/8/2018,118.16,122.8,111.76,111.76,2030335
2/7/2018,117.19,121.11,116.6,117.53,1387245
2/6/2018,113.98,120.82,113.6,118.31,3044910
2/5/2018,117.67,126.19,115.83,117.51,2723922
2/2/2018,128.13,128.5899,120.99,121.44,2799752
2/1/2018,127.75,133.38,126,130.1,1960871
1/31/2018,131.57,131.91,129.1,129.57,1279439
1/30/2018,127.52,130,125.5,128.59,1840972
1/29/2018,131.87,135.28,128.7,132.14,2371379
1/26/2018,132.21,136.19,132,136.1,1589526
1/25/2018,126.41,130.8999,125.03,130.52,1768900
1/24/2018,132.4,132.7199,125.62,128.58,1926271
1/23/2018,130.82,131.9,128.11,131.73,1224195
1/22/2018,131.95,132.24,130.17,131.13,1174535
1/19/2018,131.07,132.5,129.5101,130.29,1097022
1/18/2018,129.89,130.82,126.77,129.62,1445149
1/17/2018,124.62,130.89,123.45,129.2,1918218
1/16/2018,124.4,128.37,122.1,123.19,3029534
1/12/2018,120.15,122.05,118.26,121.44,1479715
1/11/2018,120.11,121,119,119.93,1008601
1/10/2018,119.8,120.72,116.9,120.1,1799958
1/9/2018,120.75,121.9,116.51,121.68,1758471
1/8/2018,120.35,122.21,119.67,120.03,1372152
1/5/2018,117.73,121,116.61,120.86,1773652
1/4/2018,115.81,118.5,114.42,116.21,1378114
1/3/2018,113.7,117.19,113,115.09,2244898
1/2/2018,104.61,113.5,104.6,113.17,2486934
12/29/2017,105.1,105.42,103.43,103.46,611269
12/28/2017,104.9,105.5,103.08,104.33,589306
12/27/2017,104.66,104.99,102.08,104.37,774098
12/26/2017,106.84,106.84,102.58,105.08,820981
12/22/2017,107.09,107.48,105.22,106.82,640593
12/21/2017,106.64,109.56,106.5275,107.72,1237908
12/20/2017,107.41,107.49,103.39,105.53,1034999
12/19/2017,107,109.7628,105.31,107.16,1667274
12/18/2017,103.655,108.61,101.89,107.99,1676177
12/15/2017,102.23,102.96,100.8,102.72,1207719
12/14/2017,103.13,104.61,101.33,101.83,974107
12/13/2017,102.5,105.49,102.31,103.53,1739213
12/12/2017,103.5,104.16,100.946,101.69,1275702
12/11/2017,101.46,104.61,101.4558,104,1473992
12/8/2017,104.25,106.71,99.95,100.24,2731165
12/7/2017,99.77,102.26,99.28,100.71,1852735
12/6/2017,98.8,101.56,97.49,98.36,1877821
12/5/2017,100.38,103.31,99.26,100.41,1793844
12/4/2017,107.6,108.77,99.11,102.03,2653544
12/1/2017,106.96,108.56,104.52,104.83,2187513
11/30/2017,111.21,111.53,106.5,108.56,2206524
11/29/2017,115.25,115.755,105.26,110.82,3305977
11/28/2017,114.5,118.25,114,116.01,1389582
11/27/2017,116.06,116.675,113.4253,114.37,1830337
